text,reason,label
"it really annoys me, because in my account I am using i cannot change my name, or profile picture, and my name is completely different then my real one, and half my school does not know.",want to change name and profile picture,1
i can not open my voice disabled my image is enough either,want to open voice,1
unable to enter the year of birth.,want to enter the year of birth,1
how do i get quality recordings?,want to get quality recordings,1
"well after i set my account i was trying to joint my zoom meeting they kept on telling me ""switch account"" and they will not let me change my name and photo . not impressed",want to join meeting and change name and photo,1
"when there is a problem, support is non-existent.",customer service needs improvement,1
I am going into zoom you background to open my exam and my camera switches off automatically.,camera switches off automatically,1
"but every time your phone number could not be saved, please try again",want to save phone number,1
"first off, the preveiws they put in the app store are so cringe.",app store previews are bad,1
"screen share quality is horrible, 40p at the very most.",screen share quality is poor,1
"-files are being sent very slowly, even sometimes canceled.",files are being sent slowly,1
when i click on the effects section i can not go back.,want to go back after clicking on effects section,1
everyone says there is no support for turkish language translate from settings to turkish so simple or how did you not understand?,want to translate turkish language,1
"unfortunately, no sound on tv when i plug my ipad or iphone into an hdmi adapter.",want to hear audio on tv after plugging in ios devices into hdmi adapter,1
weblink does not work on ipad browser(google),weblink does not work on ipad browser,1
we also have to take notes on our ipads and can not take notes while splitting the screen because the space is too small for both writing and meeting to see anything!,want to take notes while splitting screen,1
all of a sudden it does not take the password which is working on mobile but not on ipad,password is not working,1
why are account settings so inaccessible?,account settings are inaccessible,1
i want to change my 2fa settings and authenticator app,want to change two factor authentication settings and authenticator app,1
"unfortunately, no breakout rooms can be created from the iphone.",want to create breakout rooms,1
no participants can focus in breakout.,want to focus on breakout,1
as far as top but breakout rooms are missing.,breakout rooms are missing,1
i can not chat with my friends because i can not find the contact request button!,want to chat with friends,1
may i ask how to send pictures in messenges?,want to send pictures in messages,1
"lots of features, but chat boxes keep blocking the presentation",chat boxes are blocking the presentation,1
disable mic in the settings but still feel switched on without pressing the mic,want to turn off mic,1
still have not got a refund.,want to get a refund,1
"also, for the life of me, can not seem to find a way to add different backgrounds.",want to use backgrounds,1
fix password error and invalid id,want to fix password error and invalid id issues,1
please provide pip on ipad,want pip on ipad,1
it would be perfect to have more message recall function!! ',want message recall function,1
"video, sometimes audio as well, turns black intermittently when switching split view on ipad.",video turns black intermittently when switching split view,1
unpleasant reverse camera vcl,reverse camera needs improvement,1
it is in german - how can i switch to dutch or english please ?,want dutch or english language support,1
waste of time it does not even let you scan the code when you have code!,want to scan code,1
"hi, i have black screen when i switch to see active speaker.",receiving black screen to view active speaker,1
expect the releasers to add settings hit wallpapers on ipad,want to add settings hit wallpapers on ipad,1
but the app sometime have a litle bit lag when my teacher share the screen and the video.,app screen sharing feature is slow,1
multiple code passes can not be entered.,want to enter code,1
"network or network, video does not match the voice and screen.",want to sync audio with video,1
ipad 5 does not have the background.,ipad 5 does not have background,1
but iphone 5 must have virtual background on the filter,iphone 5 needs virtual background,1
i can not take part in any class on my iphone and my ipad too.,want to take part in class on iphone,1
i do not know how to cancel the service and the payment becomes automatic,want to cancel subscription,1
"every time you go to the meeting or every time you learn online, you need to enter your password again.",user has to enter password multiple times,1
"but the bad thing about this application is that the free version has a bad interface, in addition to the fact that you have to pay to have a pro version to be able to have a meeting of more than 40 minutes and better features.",free version has bad interface,1
how can i open a group?,want to open a group,1
"i do not know how to put the filters, nor do i know how to put the photos in the entrance when you turn off your camera.",want to apply filters and put the photos in entrance,1
"they have just set up a very annoying update with a terrible sound every time i tap on mute/unmute micro, and there is no way to disable that.",latest update is bad with audio issues,1
"after the last update, the interface completely changed and displayed in russian, in the settings there is no such option as ""language selection""",want to choose another language,1
can someone tell my how to start a call?,want to start a call,1
"I am so sad, and light disappoint because this app on iphone do not have feature allows user to change background in meeting.",want to change background on iphone,1
"app was easier than others, but i recommend you make an interface easier and have more time in meeting for the free version.",user interface needs improvement and need to extend time limit for meeting,1
mirror mode is horrible,mirror mode is horrible,1
"i can not register, plus the lack of ukrainian language, please correct it and put a good assessment",want to register and want ukrainian language support,1
"when a link is sent, it does not let you click and follow it.",want to click on link,1
the appt shuts down twice,app shuts down twice,1
it would be awesome if you implemented native picture in picture mode for video calls so we can minimize the app while keeping a call on the screen,want native picture mode for video calls,1
it is a good app but it does not let me enter what it says in the app store that it is for 4 years and older,want to enter the app,1
the application crashes a lot and i can not understand my meetings and also it takes a long time to let the meeting in please fix it,app crashes during meetings,1
it does not connect me with people to play minecraft does not work!,want to contact people,1
zoom will not let me create sections and also will not let me start or subscribe,want to create sections,1
* and it is the one i use for everything but the sharing function is very limited and difficult i cannot share videos or the sound of the ipad among other things like on computers,want to share videos,1
it would help many students if when zooming out while in meeting the meeting is minimized in one part of the screen.,want to minimize the screen while zooming out,1
i need to reduce the size of the app because the current 15 gb device contains 16gb erase all unnecessary apps then many memories can not be deleted,want to reduce the size of app,1
but. it will not let me put funds and filter,want to put money and filter,1
"ask zoom for 3-4 people, but we can not exchange cards",want to exchange cards,1
"when you try to log in through an institutional account, you enter a loop that ends 6 hours later without actually signing you in.",want to login using institutional account,1
"i mainly use it for yoga lessons, but i can no longer turn off the center camera in the control center, and i can not capture the entire pose.",want to turn off center camera in the control center,1
there is a bug that the zoom screen hardens on iphone xs (ios15.2.1).,screen freezes on iphone,1
I would like zoom to be able to work in background with picture in picture video like facetime does.,want the app to run in background with picture in picture video,1
"now, camera is instantly turned off when you put zoom on background.",camera turns off when the app is kept on background,1
I would also love to be able to control remote screen from the ipad.,want to remote control screen from ipad,1
"the question is why i can not save a list of meetings i can connect to on the main screen, with the ability to name this meeting.",want to save meeting lists,1
"resolve the issue of maintaining a list of conferences, prepared templates",want to create a list of conferences and prepared templates,1
should not there be an upgrade to pro button hanging around somewhere?,want to upgrade to pro,1
i do not understand why guys write bad reviews!,poor reviews,1
switching between devices with a single account is very convenient.,switching between devices with single account is good,1
why can not i make use of a whiteboard.,want to use whiteboard,1
"the notification bell keeps going on during the meeting, it rings when a person joins or leaves which disturbs the meeting.",notification bell keeps ringing during the meeting,1
"the bell is not necessary, it is okay to leave a banner on the screen but not a bell every time someone joins.",want to remove the bell feature,1
add pip picture-in-picture support for iphones,want picture in picture mode for iphone,1
"support does not work, there is no way to fix it in the settings.",support option does not work,1
"dear zoom developers, make it possible to change icons on 7 iphones",want to change icons on iphone,1
it has connectivity issues on iphone.,iphone has connectivity issues,1
i would just like to finalize that ipad and iphone can connect a second pair of headphones via bluetooth.,want to connect a second pair of headphones via bluetooth,1
"the zoom has always worked very well, it is very convenient, but recently it has become hanging,",app hangs sometimes,1
"ask to drop data (name, surname, email) and send incomprehensible links to some conferences.",want to drop data and send links to some conferences,1
a large delay when demonstrating a computer window from a 4k display to an ipad.,facing delay when demonstrating computer window from 4k display to ipad,1
there is no way to organize session rooms on the ipad.,want to organize session rooms on ipad,1
"when i went to a distance learning lesson, conferences always crashed and did not work",conference did not work,1
why can not i register with iphone 7,want to register with iphone,1
"- can not easily change name once in a meeting
- chat does not save to beginning of call -- so if things are typed into chat a few minutes into the call, it has to be retyped when late attendees arrive.",want to change name in a meeting,1
- you can not control audio from the app if you dial in on the phone,want to control audio from app,1
- chat function is difficult to switch between group reply and personal chats -- i have seen many accidental chats,want to switch between group and personal chats,1
- backgrounds do not have great interface --,interface of background needs improvement,1
really wish the mobile client allowed you to save recordings locally.,want to save recordings locally,1
(iphone 8) is utterly incapable of connecting to any calls.,want to connect from phone,1
i can not assign a picture to my profile for when i have my camera off.,want to add profile picture when the camera is off,1
"and no where to upgrade the plan, please assigned a button for upgrade to others plan also.",want to upgrade plan,1
please put the controls at the bottom of the screen.,want to put controls at bottom of screen,1
an option to touch the space bar to toggle mute/unmute would be wonderful.,want to toggle mute/unmute using spacebar,1
every time i update my profile picture and join a meeting the profile picture looks blurred.,profile picture is blurred,1
i do not understand why i can not get it to work on my apple laptop,want to work on apple laptop,1
"also, without me selecting that feature the app automatically blurs my background which creates a halo around me making my outline look very unnatural.",app blurs background,1
please allow me to unblur my background and utilize the full quality of my camera.,want to unblur the background,1
"zoom & my airpods pro work great on my iphones but, the zoom app on my macbook air and the bluetooth glitches out like crazy and cuts in and out.",facing issues with bluetooth connection on macbook,1
"really great app using just ""basic"" (or free.) version.",basic version is good,1
the interface (especially with regards to user controls) is hard to navigate.,interface is hard to navigate,1
i only used it a cpl times yet my saved passcodes do not work.,saved passcodes are not working,1
"the ability to lock a breakout room from the inside, similar to the way we can lock a meeting, preventing others from joining.",want to lock a breakout room from inside,1
"if we could lock the breakout room and have the room display ""locked"" rather than listing the participants names, that would be great for facilitating private conversations.",want to lock the breakout room,1
the ability to limit who can hear the audible alert when a participant enters the waiting room.,want to limit the audible alert when participant enters the waiting room,1
my biggest complaint is the inability to turn off the intergeated calling features.,want to turn off intergrated calls,1
not able to mirror screen onto smart tv,want to mirror screen onto tv,1
we need add close caption for deaf who can not hear please you can put add for close captions on zoom by wednesday morning,want to add close captions,1
there is not even a way to contact in any settings on the app.,want to contact in settings,1
and it said sign in failed in chinese,want to sign in in chinese,1
this app would distract me a lot and it would glitch all the time and took all of the space on my laptop and it would always start and then the wi-fi would just shut down,app glitches frequently and takes up large memory space,1
"i love zoom for having meetings, but a problem that occurs occasionally is trying to mute someone or lower someone is hand but the list changing due to someone unmuting or raising/lowering their hand, causing me to mute the incorrect person.",facing issues when trying to mute or lowering hand,1
logging onto a meeting is very easy,logging onto a meeting is easy,1
great experience using zoom all i wanted was more new features like video background editing option in ipad,want video background editing option,1
zoom app is not opening in iphone 7 plus.,zoom app is not opening in iphone,1
it is so good to have facial recognition when discussing personal or professional work.,facial recognition is good,1
sometimes i want to be anonymous in a meeting -every time i go to edit my name and put a new name in next time i go into zoom,want to be anonymous in a meeting,1
difficult to get started to host a meeting,want to host meeting,1
"what is that all about in other words, i cannot get into my own zoom room.",want to enter zoom room,1
"i love the zoom app, i just wish they would address a way to center view when you have an off-center camera on your device.",want to have a center view for off center camera on device,1
they are still sucking money out of my account with no means to cancel at this time.,want to stop amount deduction,1
it is really helpful to be able to mute other people on zoom if they are accidentally unmuted or saying wrong things.,want to mute other people,1
it is frustrating and maddening to be unable to connect with the others through zoom!,want to connect with others through zoom,1
i cannot connect to zoom meetings on my ipad.,want to connect to meetings on ipad,1
screen goes black except for a little man icon in center --,screen becomes black except for the little man icon in center,1
"no buttons, no way to drag down meeting controls from top, absolutely nothing i can do.",want to drag and drop meeting controls,1
i do not understand why the simple function of allowing us to change our status on the mobile app is not an option.,want to change status on mobile,1
using zoom for online classes is super convenient and will not get stuck.,using zoom for online classes is good,1
host functionality is very glitchy on tablet or phone.,host functionality has glitches on tablet or phone,1
"no integration with the password manager, so you must remember your password, and you will re-use the simple one you use for all the crap websites.",want integration with password manager,1
almost no configurability of how participants are displayed.,no configurability of how participants are displayed,1
"for some inadequate reason, it always wants to launch through a web link, opening another useless tab, and adding a couple of useless clicks.",app launches using web link,1
there is no option to use breakout rooms.,want to enter breakout room,1
it seems certain features have not appeared in the mobile version of zoom.,mobile version of zoom does not have features,1
please add the feature to where we can close the zoom app & still watch a video/movie on the small screen.,want to close the app and watch video on the small screen,1
2.- ability to know how many people are listening the foreign language.,want to know how many people are listening the foreign language,1
i love to see smiling faces and continue building relationships through zoom!,good for building relations through zoom,1
"it is good except you canot record on the ipad version, and you cannot have the chat up and see the screen.",want to record on ipad,1
why is that music is not translated well on zoom?,music is not translated on zoom,1
i am going nuts trying to figure out a way to have a picture up while on a zoom (and i do not want to be seen live).,want to upload a picture without being seen live,1
"this app does most things i could do on a laptop, however, the ability to do breakout rooms is not on the app.",ability to breakout rooms is not present on app,1
I would like to be able to minis the screen while i scroll thru other apps,want to minimize the screen while scrolling through other apps,1
this app is very glitchy especially on a green screen background the ads are kind of false advertising because they look so high quality when in reality,app is glitchy on green screen background,1
you should also add a section where you can put in notes.,want to add a section to add notes,1
but when you try to screen share it is always lagging and you can not see what is going on.,screen sharing is lagging,1
once me and my friend where trying to watch a movie but when she tried i could not see it and when i tried she could not see.,want to view video together,1
I would like to be able to still see the meeting room info even when I have turned off the video.,want to see meeting room information after turning off the video,1
i some how lost the audio and video.,lost audio and video,1
please send some advice on how to get back to the zoom meetings once I have lost the audio and visual.,want to get back to meetings after losing audio and visual,1
on iphone and ipad i cannot put a picture up as my portal-face-screen.,want to put picture up as portal-face-screen on ios devices,1
and you know how you can put an emoji on the corner of your screen.,want to put emoji on the corner of screen,1
video sending pauses when i do multitasking.,video sending pauses during multitasking,1
this helps stay together as a family,good for families,1
does not have some obvious features like auto switch between devices.,want to auto switch between devices,1
the only thing i feel could be improved is to have the passcode imported/populate automatically if the meeting is joined via a link.,passcode needs to be imported automatically if meeting is joined via link,1
please add a floating window picture in picture mode when you minimize the app like webex (add mute buttons).,want floating window picture in picture mode,1
i look forward to zoom to have the same filter on instagram,want filters from instagram,1
hope creative manufacturers can add block function to not mind the matching trg is not worth having,want block function,1
how to sign out acc just crazy chinese,want to sign out from chinese language,1
app freezes when signing in with google,app freezes when signing in with google,1
please contact the japanese developer to remove the message mode;,want to remove the message mode,1
should add nx features with wallpaper such as wallpaper replacement,want wallpaper replacement feature,1
"call quality is outstanding, a big thank you to the developers",call quality is good,1
"after spending months using it, it gives me error code 1142 saying that i can not connect from spain.",receiving error code 1142,1
unable to fix error 1132 on ipad,want to fix error 1132 on ipad,1
zoom is amazing i can zoom anywhere and anytime but sometimes my internet goes down,zoom is amazing,1
unfortunately the new update does not improve the screen sharing or the big gap between computer zoom and ipad.,facing issues with screen share after latest update,1
when you share screen in ipad your camera will shut down,camera shuts down during screen share,1
please provide a feature to be able to install a background on iphone 6,want to install background on iphone,1
"it is a shame that once the meeting has started, you can not reach the settings anymore.",want to access settings after joining meeting,1
"hey guys, no choice menu for virtual background iphone 7",want to get menu for virtual background on iphone,1
i need to wait a long time to login,takes time to login,1
why only 10people can acces room?,want to know why only 10 people can access room,1
"on my ipad, i can not see the host's screenshare when i minimise my meeting.",want to view screen share when minimized,1
i always drop out from the waiting room although my network is stable.,getting disconnected from waiting room,1
it keeps loading although my network is stable.,app keeps loading while having stable network,1
"app takes lots of resources, it is slow and mute button is unresponsive.",app is slow and mute button is unresponsive,1
is it possible to translate the menu into dutch.,want dutch language support,1
would be nice if expression icons return in zoom.,want expression icons on app,1
the links do not open me and it tells me error 1132 all the time i deleted it,want to access link,1
"it will not even let me put in my age it stays on the day it is opened and will not let me change the date, i can not even use the app",want to input date and age,1
wish it worked better on ipads,ipad version needs improvement,1
my zoom lags and lags i try to join my class,want to join class,1
it is really hard to get into meetings on laptop because it is having you go back in fourth to google and the app.,want to connect to meetings on laptop,1
the sound went out and the video froze.,sound went out and the video froze,1
"i can not use google drive, pages, notes, etc while using zoom.",want to use google drive while using zoom,1
i do not understand what the point of this app is when you can not even click the sign in button smh,want to click sign in button,1
no options exist to change subscriptions in the mobile app.,want to change subscriptions,1
1star only for removing background blur on my ia 2.,want blurred background feature,1
the ipad app is terrible!,ipad app is bad,1
"even with a high speed internet, the app always lag.",app is slow with high speed internet,1
how do i post my profile picture with my ipad 9th gen,want to upload profile picture on ipad,1
speaker view not working on ipad,speaker view not working on ipad,1
is there a way to watch the recording?,want to watch the recording,1
"no option to save all recurring meetings for participants, hassle to click the link and input the passcode every time.",want to save recurring meetings,1
please make an option to allow the co-host/host to assign participants when using an ipad.,want option for host/co-host to assign participants when using ipad,1
"everytime i transfer from breakout room to another breakout room, it automatically unmutes me.",app unmutes automatically when switching between breakout rooms,1
"if you pass the edge authentication, you will not be able to open zoom.",want to use zoom,1
can not change settings like background picture until I am already in a meeting,want to change settings like background picture,1
everything is good but in the emoji thing symbols is misspelled.,emoji symbols are misspelled,1
"the removal of the names and mute status makes the app appear more streamline, but we need the names and mute status back (function over appearance)!",remove names and mute status,1
why can not i stream my meeting to my apple tv.,want to stream meeting to apple tv,1
birthdate information will not load.,birthdate information will not load,1
re: mobile.really terrible design that launches you into meetings without giving you a preview of yourself which has caused me to suddenly enter a meeting with video and audio on in the past.,want to get preview before joining meeting,1
great all around app except it does not give microphone access with the version 1 of ipad pro.,ipad pro version needs microphone access,1
poor performance in weak signal areas,poor performance in weak signal areas,1
can not turn off two step authentication.,want to turn off two step authentication,1
not a smooth sign up either.,sign up experience is bad,1
"they do not take my birthdays ( I am
adult) and does not let me sign up",want to sign up for birthday account,1
phone calls drop all the time,phone calls drop all the time,1
my zoom conferencing stopped after 15 minutes.,zoom conferencing stopped after 15 minutes,1
I am trying to film my youtube video and it will not let me go on there,want to record youtube video,1
bad interface and the code you guys sent me does not even work,interface is not good,1
add arabic to the application,add arabic to the application,1
arabic language does not exist,arabic language does not exist,1
but it does not support arabic language..,want to use arabic language,1
excellent tool for personal development.,good for personal development,1
quality portuguese subtitles are missing!,portuguese subtitles are missing,1
you need to make it possible to manage the simultaneous rooms through the application.,want to manage multiple rooms,1
"the application is missing backgrounds, this is very bad.",app is missing backgrounds,1
i can not leave the class finish,want to leave class,1
the new icon menu does not let me access the text box.,want to access text box,1
you do not have the possibility to add a wallpaper to the free version,want to add wallpaper to free version,1
"it is unacceptable that it is not possible to mirror the image and audio natively in the application, if you want to use an android device and mirror the video to the tv on google chrome cast you can only be able to use the google home app but the audio does not mirror, it is muted and ridiculous!",want to mirror audio and video,1
super easy to connect with youtube to make live!,good for connecting with youtube,1
i can not hold any meetings!!,want to hold meetings,1
the new mobile update was horrible!,mobile update was bad,1
i could not open my nephew's baby shower.,want to open the baby shower,1
a different price comes every month.,different prices come every month,1
i am not going to 5 stars yet because what is most lacking is the option to open simultaneous rooms and place participants in them.,want to open multiple rooms simultaneously,1
many limited features in the tablet version,tablet version has limited features,1
it does not work properly on multilaser tablet!,want to use multilaser tablet,1
"on the smartphone there is no way to configure it to brighten the camera, the video is very dark, the settings on the phone are very limited, in the end i only use it, because there is still no other feature, but when it does not improve, i will uninstall it",want to change settings,1
"it is reasonable, i have an account problem, zoom does not recognize my email password, so i can not create my meeting room",app does not recognize email and password,1
excellent app saves our mental and emotional faculties beyond the professional,good for mental and emotional management,1
worst app ever seen chinese products are just made for show but not of use,poor quality of chinese products,1
why can not i edit meeting settings from mobile app ?,want to edit meeting settings,1
"and that too the pop up will not close even after tapping on the ""x"" button.","pop up will not close even after tapping on ""x"" button",1
it uses very much data and you can not lower the video quality,data consumption is high and unable to adjust video quality,1
"it have been a good app,it help me get along with family and friends",good for family and friends,1
it always needs an update the sound system is terrible,sound system needs an update,1
good apps for study and conference,good apps for study and conference,1
"i use to use zoom on both my tablet and mobile with same account in same time, so it very easy to switch between device and its very useful.",ability to use zoom on mobile and tablet,1
"linking does not always work for some reason, and you can not easily copy and send the meeting invite information.",want to copy and paste meeting invite information,1
i uninstalled this app and yet it is still appeared on the update list?,uninstalled the app and yet it is still on the update list,1
while connecting 10 or more people connection frequency is to slow.,connecting 10 or more people is to slow,1
very easy to create meeting links,easy to create meeting links,1
easy to connect with members.,good for connecting with members,1
i hate this app becouse this app do not have background & filters,app does not have background & filters,1
i missed a very important meeting because zoom does not work on my new samsung galaxy phone,want to use zoom on cell phone,1
bluetooth headset optimization is poorly done.,bluetooth headset optimization is poorly done,1
but ui is a bit too laggy,ui/ux is slow,1
the new zoom feature which enables us to shift to other pages while still keeping the video on is awesome.,new zoom feature is good,1
"it never stops, icons are not handy, it joins by video as default.",icons are not useful,1
"could have given 5 star but for few minor glitches - some devices are unable to use background blurring and sometimes, quite difficult to join some meetings.",want to blur background and join meetings,1
i feel zoom is excellent' still the same' has not let me down.,zoom performance is good,1
very annoying not being able to get a full screen view.,want to get full screen view,1
zoom does not cater for android users.,zoom does not cater for android users,1
I am not able to customize my vertual background request you to kindly look into this.,want to customize vertual background,1
it also can not keep tabs on recurrent meetings,want to keep tabs on recurrent meetings,1
the person who logged in zoom using mobile can not see files in chat.,want to see files in chat,1
zoom is so slow please tune it up please!,zoom is slow,1
sync is another feature that does not work.,sync is not working,1
overheats while on videocall you need to add the option to control quality of video for smartphones as well.,want to add video quality control,1
no support for standard 16x9 resolution,no support for standard 16x9 resolution,1
needs more options and drop the pass boxes,want to drop pass boxes,1
network stability is still poor,network stability is poor,1
not very much good always asks to switch account and sign in,want to switch account and sign in,1
"easy to use.better for students,for classes",good for students,1
please remove the watermarks across everyone is video.,want to remove watermarks,1
amar down load high na,loads are high,1
"I am trying to find zoom meetings to join, ridiculous, can not find any.",want to find zoom meetup,1
app is crashing in android 12 version,app is crashing in android 12 version,1
it takes too much time too open and screen quality is very bad,screen quality is poor,1
", i can not use video blur , what is the process",want to use video blur,1
highly recommend very good for when you want to watch tinker bell with someone all the way in australia when you are very far away from australia also very very very good for watching old people fall down stairs with said person fron australia.,good for watching old people fall down stairs,1
very creative app for organisations,good for organising,1
too long why.my updat is taking me too long please chich it,update is taking too long,1
please add a meeting volume adjust,want to adjust meeting volume,1
hard to store can not do it,want to store items,1
but sound compression is still suboptimal.,sound compression is suboptimal,1
put zoom on home screen.,want to put zoom on home screen,1
great platform but also give virtual background to snapdragon 720 processors,good for virtual background,1
after the last update i can not join zoom rooms :(,want to join zoom rooms,1
turn camera and microphone off as a default.,turn camera and microphone off as a default,1
"sometimes the host voice gets a little fuzzy, and come off the screen.",host voice gets fuzzy,1
so it is really hard because i have some ugly noisey background please add a filters and a background for a phone and a tablet,want to add filters and backgrounds,1
for now two stars especially the issue where you cannot pin a video when there is sharing in the screen i hope you will fix it,want to pin video,1
there need to be an option to disable chat popups,want to disable chat popups,1
multiple windows are opened when you go into the breakout and audio stops working..,multiple windows are opened when you go into the breakout and audio stops working,1
zoom is completely unusable while driving a car.,zoom is unusable while driving a car,1
greater for virtual gatherings,good for virtual gatherings,1
what is up with our not being compatible with a blue tooth speaker?,want to use blue tooth speaker,1
uninstall and reinstall normally did not work,uninstall and reinstall normally did not work,1
sometimes i can not rename my name in zoom settings.,want to rename name in zoom settings,1
perfect for multi tasking,good for multi tasking,1
all good but not showing control(sharing device screen control) option in phone and also no pip mode!,want to get sharing device screen control option and pip mode,1
update: got pip mode but still controlling/remote control of shared device not available for android.,pip mode is not available for android,1
call gets disconnected and app restarts,call gets disconnected and app restarts,1
recent changes no longer allow you to use two device simultaneously.,want to use two devices simultaneously,1
can not free space,want to access free space,1
only concern which i observed is that one cannot login on multiple devices with the same paid account which should be fixed.,want to login on multiple devices,1
"i am not able to join audio on pc with my phone , india is not showing in drop down pathetic and even the zoom support is not helping",want to record audio on pc,1
lag in audio or distortion while someone is myself or someone is speaking.,audio is distorted while someone is speaking,1
downloaded emojis which are useless.,downloaded emojis which are useless,1
"zoom app suck on phone, automatically opens cam when joining even i toggle off cam, presentation becomes black",zoom app sucks on phone,1
why can one not paste the 2fa code in while logging in?,want to paste code in while logging in,1
required upgrade to version 5.10 is not working and does not work as of yesterday,want to upgrade to version 5.10,1
vary nice app for android,android version is good,1
there is not touchup option available as yet,want to use touchup feature,1
it is not allowing to coppy paste nor is it allowing to enter alphabets.,want to enter alphabets,1
"the app update takes forever, meeting ongoing and unable to join",app update takes forever,1
simply i have lost my data for this,data is lost,1
easy to navigate through,easy to navigate,1
how can i put my picture there is no options for change picture?,want to change user image,1
worst app showing my wrong name i do not know why i tried many times but still same problem,app shows wrong name,1
"i can not see the slides properly, when i rotate my mobile.",want to rotate slides properly,1
it sucks that android users can not upload backgrounds,want to upload backgrounds,1
not able to use virtual background filter in my meetings.,want to use virtual background filter,1
"good option, ths used to help me contacting my relatives",good option for contacting relatives,1
android app does not allow direct screen sharing of video from phone.,android app does not allow direct screen sharing of video,1
devices used have to be rebooted due to app randomly turning the screen white while making a static noise before turning device off completely while in use.,devices used to be rebooted due to app randomly turning the screen white,1
i need background photos too.,want to keep background pictures,1
works great - large groups or small .,good for large groups,1
how to delete personal chat images stored,want to delete personal chat images,1
very nice for online presentation s,good for online presentation,1
for me i could't find video filter,want to find video filter,1
and why we can not take or host a meeting without sign in ?,want to host a meeting without signing in,1
so i can not go to outside meetings with my house ladys.,want to attend outside meetings,1
"does not let me add anyone, apparently it does not work well with high end phones trash.",want to add users,1
can not reverse the camera,want to reverse camera,1
we can not hear anything whenever we click on a video.,want to hear video,1
this language is not under stand you,language is not understandable,1
"the payment portal is excruciating slow, confusing, and unintuitive.",payment is slow,1
it does not let me relax during class.,want to relax during class,1
there is no virtual background in more options and even in the settings!,no virtual background features,1
biometric recognition fails to function after enabling it in settings.,biometric recognition fails after enabling it in settings,1
mobile data will become slow even in background running and not used.,mobile data is slow even in background running,1
i can not meet my friends,want to meet friends,1
i use it with friends and family it great,use it with friends and family,1
"wonderful app, really usefull for all age groups",good for all age groups,1
i can not join a new meettings.,want to join new meettings,1
"you need to have more options on your phone, such as creating and managing simultaneous rooms.",want to have more options on phone,1
"it does not work with a bluetooth box, i believe that not with a headset and on the tv/monitor, the sound does not come out on the tv in mirror mode/",want to hear audio in mirror mode,1
great way to meet long distance people,good for meeting long distance people,1
would like to be able to block incoming phone calls while in a zoom meeting or at least make them not take over the audio because there is such a delay switching back to the meeting audio even if you ignore the call!,want to block calls while in zoom meeting,1
file transfer should be more convenient,file transfer should be more convenient,1
dropping the rating down a bit more.,ratings are getting down,1
excellent for digital gathering,good for digital management,1
the app sucks to many #s and passcode,app is bad for passcode,1
literal trash on the android platform,literal trash on android platform,1
"poorly made, bad quality, i hate school",poor quality of education,1
no virtual images coming after updating the app,want to view virtual images after updating the app,1
i want to rate this one star because there is no option to switch audio to stereo therefore all audio comes through the phone speaker instead of the tv speaker when casting.,want to switch audio to stereo,1
"this needs to be changed so many other apps have largely the same settings computer to android (with some differences because of device limitations), not being able to use stereo audio is not a device limitation, so tell me why is not stereo audio an option on android if it is not a device",want to use stereo audio on android,1
otherwise there is good flexibility with sharing pictures and sound along with breakout rooms for small groups.,good for groups,1
cannotget in a meeting miss school,want to go to school,1
no virtual background or blur funtion for samsung galaxy tablet s6,want to use virtual background for samsung galaxy tablet s6,1
this is awesome apps for student and teacher and any another people..,good for student and teacher,1
my only problem is sometimes i get kicked off during peak hours of use when using the hotspot with my laptop,hotspot is not working during peak hours,1
makes the app unusable.,app is not useful,1
great for getting together without physical contact.,good for getting together without physical contact,1
"as of the time i posted this, options to speed up the recordings, were the only available options; none to slow down the recording.",want to slow down recording,1
does not allow me to see more than 4 screens despite having enough screen space for more (tablet).,want to see more than 4 screens,1
also raised hands are not brought to the front of the screen order,raised hands are not brought to the front of the screen,1
i can not enter my card details.,want to enter card information,1
can not find closed captions.,want to find closed captions,1
great app for a business chat,good for business chat,1
i hate how the screen goes black or flickers.,screen turns black or flickers,1
payment method is too difficult.with only one option credit card,payment method is difficult,1
app always has issues with login and also the video caller picture is not always clear and glitches alot.,app always has issues with login,1
helpful to connect with classmates and co-workers,good for connecting with team members,1
cannot turn on the fingerprint.,want to turn on fingerprint,1
how can people who can not own a laptop.,want to own a laptop,1
students are removed by host because the video get stopped and zoom take lots of internet and speed gets low due to that,students are removed by host,1
please add playback sessions watching please,want to add playback sessions,1
easy to use reliable service,easy to use service,1
i do not know why my zoom can not use the backgroud[?],want to use zoom function,1
disappointed with the mobile version.,mobile app is bad,1
web browser audio not working,web browser audio not working,1
sometimes we need to have a different picture setting for privacy sake!,want a different picture setting for privacy,1
its supporting but poor networking system,poor networking system,1
not being able to join meetings on time because of the glitches,want to join meetings on time,1
it does not allow to enter the meeting .,unable to enter meetings,1
bluetooth support is horrible.,bluetooth support is bad,1
"all are less intuitive, not user friendly, poor user interface.",app is not user friendly and interface needs improvement,1
can not add background photo on oppo 95,want to add background photo,1
verstile app for learning and for social meetings,good for learning and for social meetings,1
but i have a request to large the size of the wating room notification.,want to increase notification size,1
zoom works best for interactive large groups.,zoom is good for interactive large groups,1
unable to update/install for last 2 days.,want to update/install,1
the video is faulty and it is difficult to use.,hard to use video,1
"happy, tablet not able to have all settings.",want to have all settings,1
can not even link properly to my email.,want to link to email,1
i am missing a class,missing a class,1
